load_factor,elasticity_factor,stiffness_loss,affected_component,maximum_vertical_displacement_mm,maximum_total_displacement_mm,approximate_maximum_stress_mpa,risk_index,structural_state,data_status
0.8,0.6,0.0,ARCH,1.8226346666666668,2.8256716800000006,27.648000000000003,0.2753299797333334,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.0,DECK,1.8226346666666668,2.694853546666667,23.552000000000003,0.25393234240000007,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.0,SUPPORT,1.8226346666666668,3.0088170666666665,30.208,0.2930123253333333,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.1,ARCH,2.029191111111111,3.1459008,29.859840000000005,0.3337514245925926,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.1,DECK,1.9679655172413792,2.909732241379311,24.908595200000004,0.29421570560666677,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.1,SUPPORT,2.094348623853211,3.457364220183486,33.3012992,0.37082875216660555,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.2,ARCH,2.29648,3.5602848000000002,32.07168000000001,0.39848926666666673,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.2,DECK,2.1462429906542058,3.1733241121495332,26.2651904,0.3376570359018069,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.2,SUPPORT,2.469333333333333,4.076391397849463,36.3945984,0.46009958334738355,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.3,ARCH,2.6505295238095243,4.109175771428572,34.28352,0.4722505333333334,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.3,DECK,2.3665442176870752,3.499050136054423,27.621785600000006,0.38512638544244904,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.3,SUPPORT,3.0119653679653684,4.972171861471862,39.4878976,0.5679652267806061,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.4,ARCH,3.13472,4.859827200000001,36.495360000000005,0.559546936888889,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.4,DECK,2.64161797752809,3.905760000000001,28.978380800000004,0.43784573759520606,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.4,SUPPORT,3.8541639344262295,6.36247868852459,42.5811968,0.7032926385556284,CRITICAL,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.5,ARCH,3.827136,5.933295360000001,38.7072,0.6668328928000001,CRITICAL,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.5,DECK,2.98995,4.42078575,30.334976000000005,0.4975869682416667,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.5,SUPPORT,5.315466666666667,8.774806666666667,45.674496,0.8523373345333333,PROBABLE_FAILURE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.6,ARCH,4.883946666666667,7.571692800000001,40.91904,0.7720172320000002,CRITICAL,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.6,DECK,3.439399061032863,5.0853179342723,31.691571200000002,0.5670203692033802,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.6,0.6,SUPPORT,8.420597701149426,13.900777011494252,48.767795199999995,0.9679288081066667,PROBABLE_FAILURE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.0,ARCH,1.4581077333333334,2.2605373440000003,27.648000000000003,0.2346451037866667,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.0,DECK,1.4581077333333334,2.155882837333334,23.552000000000003,0.2143594205866667,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.0,SUPPORT,1.4581077333333334,2.407053653333333,30.208,0.2507707136,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.1,ARCH,1.6233528888888886,2.51672064,29.859840000000005,0.2884927492740741,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.1,DECK,1.5743724137931032,2.3277857931034482,24.908595200000004,0.25152321144000006,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.1,SUPPORT,1.6754788990825686,2.7658913761467887,33.3012992,0.32232800644795107,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.2,ARCH,1.8371839999999995,2.84822784,32.07168000000001,0.3473935125333334,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.2,DECK,1.7169943925233644,2.5386592897196265,26.2651904,0.2912133759641122,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.2,SUPPORT,1.9754666666666663,3.2611131182795696,36.3945984,0.40304882277390675,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.3,ARCH,2.1204236190476196,3.287340617142858,34.28352,0.41351301546666674,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.3,DECK,1.89323537414966,2.7992401088435375,27.621785600000006,0.3341259558846259,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.3,SUPPORT,2.409572294372295,3.97773748917749,39.4878976,0.4986454889018182,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.4,ARCH,2.5077760000000002,3.8878617600000007,36.495360000000005,0.4904606279111112,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.4,DECK,2.1132943820224717,3.1246080000000003,28.978380800000004,0.38123853789483153,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.4,SUPPORT,3.0833311475409837,5.089982950819672,42.5811968,0.6208235915610929,CRITICAL,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.5,ARCH,3.0617088,4.746636288,38.7072,0.5847332155733334,CRITICAL,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.5,DECK,2.39196,3.5366286000000007,30.334976000000005,0.43396862270000003,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.5,SUPPORT,4.252373333333333,7.019845333333333,45.674496,0.7777514778666667,CRITICAL,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.6,ARCH,3.9071573333333327,6.05735424,40.91904,0.7076578432,CRITICAL,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.6,DECK,2.7515192488262907,4.068254347417841,31.691571200000002,0.49445244375737085,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.75,0.6,SUPPORT,6.736478160919541,11.120621609195402,48.767795199999995,0.9679288081066667,PROBABLE_FAILURE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.0,ARCH,1.2150897777777778,1.88378112,27.648000000000003,0.20752185315555555,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.0,DECK,1.2150897777777778,1.7965690311111113,23.552000000000003,0.18797747271111115,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.0,SUPPORT,1.2150897777777778,2.005878044444444,30.208,0.2226096391111111,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.1,ARCH,1.3527940740740738,2.0972672,29.859840000000005,0.25832029906172843,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.1,DECK,1.3119770114942526,1.9398214942528738,24.908595200000004,0.22306154866222225,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.1,SUPPORT,1.3962324159021404,2.304909480122324,33.3012992,0.28999417596884813,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.2,ARCH,1.5309866666666663,2.3735231999999997,32.07168000000001,0.3133296764444445,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.2,DECK,1.430828660436137,2.115549408099689,26.2651904,0.260250936005649,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.2,SUPPORT,1.6462222222222223,2.7175942652329748,36.3945984,0.36501498239158897,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.3,ARCH,1.767019682539683,2.7394505142857146,34.28352,0.3743546702222223,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.3,DECK,1.5776961451247167,2.3327000907029483,27.621785600000006,0.30012566951274383,SAFE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
0.8,0.9,0.3,SUPPORT,2.0079769119769124,3.314781240981241,39.4878976,0.4524323303159596,MODERATE,SYNTHETIC_EXPLORATORY_NOT_OPENSEES
