mode,eigenvalue,period_s
1,1651.9577010116514,0.15458964751416676
2,1815.7341556674958,0.1474530420624631
3,1948.930629975307,0.14232515903822898
4,2137.076067528394,0.13591577879102498
5,3255.095385553137,0.11012806502731268
6,3691.5710176874786,0.10341278982794043
7,5628.534853112147,0.08374949337018926
8,6112.274105438453,0.08036712961255618
9,7118.728177276114,0.07446953864766141
10,8079.309248607085,0.06990250712996354
11,8376.650840963,0.06865065127697387
12,9160.827127588012,0.06564664333311057
13,12981.89100772795,0.055145602885775385
14,13876.847144691747,0.05333772232330902
15,15165.679230627265,0.051020996350663275
16,19532.97243263173,0.044956831983434274
17,22592.0969232659,0.04180243661974759
18,23986.123780021175,0.04056951661248038
19,24846.380309010383,0.0398610105018313
20,25748.371631031558,0.039156600844074366
21,27399.130951857365,0.03795871258018683
22,31117.308748352683,0.03561876472544619
23,36803.8027860262,0.032751675389169614
24,41804.155638809694,0.030730536361959736
25,42148.350767203105,0.03060480209674552
26,43829.49836475754,0.030012116132994253
27,53457.57053619709,0.027175357090320956
28,54671.4352796542,0.026871977711079267
29,55222.705351727025,0.026737514243572853
30,55459.28449557402,0.02668042462720385
31,60371.40496712163,0.025571972393123442
32,60743.1419000669,0.02549360440967829
33,62273.04026039308,0.025178498851395666
34,84763.61465974533,0.02158117737033753
35,87622.85750918322,0.021226146743757526
36,93360.46941057875,0.02056356247970705
37,94942.94143054781,0.020391469641723642
38,96054.56545075699,0.020273132674257618
39,103729.9576681985,0.0195086747422543
40,104271.43726575788,0.0194579547204148
41,106170.58033919813,0.019283140816392725
42,106273.3730273239,0.01927381277227923
43,109302.2652291845,0.019004886797743512
44,112287.7811336231,0.018750533039336596
45,114424.10193295701,0.018574670228001085
46,132483.002165918,0.01726234483389599
47,136137.94839047917,0.01702904400006965
48,142563.26032265596,0.016640871191084237
49,144733.47612926862,0.01651563863687532
50,155601.28387141827,0.015928441334878436
51,156850.42571854754,0.01586488825464127
52,158918.1073068358,0.01576134140477894
53,169045.4912890278,0.015281925297367015
54,171682.45345159384,0.015164109536573902
55,173659.15947671226,0.015077558459691043
56,182483.31418485066,0.014708496735819919
57,185882.39830478665,0.014573394949159303
58,188973.7408433466,0.014453703392574995
59,193749.97565173305,0.014274438704843198
60,196182.55396653473,0.014185664240531956
61,225977.10266624345,0.013217449212134516
62,227100.33430081984,0.013184722135892907
63,232967.89848984694,0.01301762711871326
64,245379.98798364413,0.012684118710466576
65,246617.05629087944,0.01265226599058061
66,260477.8057636727,0.012311033298283845
67,266695.1615016386,0.012166686005828955
68,271448.11555777147,0.01205969857015264
69,286986.82017619745,0.011728673379742297
70,289847.412903676,0.011670652937823411
71,305787.93869610014,0.011362390022220342
72,333733.79147665226,0.010876264913162311
73,340771.9685444836,0.010763361748290227
74,368744.0548677128,0.01034706922902753
75,406840.23216404964,0.009850718795616836
76,413643.64138389693,0.009769373011538253
77,417737.45851775,0.00972138534127069
78,417937.08548370516,0.009719063362053618
79,419623.9501155892,0.009699508646547427
80,480737.63083470333,0.009062036538356764
81,492686.76442865643,0.008951471238612264
82,493470.55162957695,0.008944359530828106
83,504892.66330984264,0.008842607299185928
84,562892.4499534806,0.008374659465878889
85,583972.8018199595,0.008222115212946428
86,590882.677206218,0.008173898477682432
87,671617.108615342,0.007666885775416234
88,678136.0354636358,0.007629945869603068
89,755260.7058553068,0.007229885564632491
90,760229.1457637994,0.007206221558105491
91,790092.8414880532,0.007068720419496485
92,832849.3269518071,0.00688488433862873
93,846473.2206817423,0.006829253859523306
94,853045.5918329344,0.006802894670660233
95,909941.2266076116,0.006586780594649779
96,935063.0667354831,0.0064976964180594645
97,944829.1301216644,0.00646402803088816
98,962895.1876719937,0.0064031011177366065
99,1012204.9224829222,0.0062451898593952
100,1014418.7813520853,0.006238371412775415
101,1031130.4970375532,0.006187611706228008
102,1071735.4186437982,0.00606926466846446
103,1078235.7239304138,0.006050942277114413
104,1084600.355004763,0.0060331621425610315
105,1154861.417772166,0.005846755490207304
106,1162179.3222483466,0.005828318764057913
107,1211862.6975862214,0.00570759514072344
108,1218016.232850588,0.005693159224672183
109,1257864.7608098963,0.00560225526087337
110,1263703.6711436852,0.005589297737844546
111,1383515.290326755,0.005341803234640182
112,1389524.6137035731,0.005330239781698877
113,1429308.0072730593,0.005255535270054512
114,1435383.7631865074,0.005244400543535245
115,1458173.1389596078,0.005203257530588566
116,1463650.001494763,0.005193513317468
117,1522277.946158699,0.005092521726656859
118,1577106.0482007535,0.005003217923640077
119,1699240.156317774,0.004820060473118465
120,1746219.1383755405,0.004754780757891203
