step,control_displacement_m,base_shear_kN,ductility
0,0.0,0.0,0.0
1,0.003,321.9640287579406,0.15
2,0.006,643.9280575158812,0.3
3,0.009,965.8920862738217,0.44999999999999996
4,0.012,1287.8561150317623,0.6
5,0.015,1609.8201437897028,0.75
6,0.018,1931.7841725476435,0.8999999999999999
7,0.020999999999999998,2154.4759591052193,1.0499999999999998
8,0.024,2178.6232612620647,1.2
9,0.027000000000000003,2202.7705634189106,1.35
10,0.03,2226.917865575756,1.5
11,0.032999999999999995,2251.0651677326014,1.6499999999999997
12,0.036,2275.212469889447,1.7999999999999998
13,0.039,2299.3597720462926,1.95
14,0.041999999999999996,2323.5070742031376,2.0999999999999996
15,0.045,2347.6543763599834,2.25
16,0.048,2371.801678516829,2.4
17,0.051000000000000004,2395.9489806736747,2.5500000000000003
18,0.054000000000000006,2420.09628283052,2.7
19,0.056999999999999995,2444.2435849873655,2.8499999999999996
20,0.06,2468.3908871442113,3.0
21,0.063,2425.4623499764857,3.15
22,0.06599999999999999,2382.5338128087606,3.2999999999999994
23,0.06899999999999999,2339.6052756410354,3.4499999999999997
24,0.072,2296.67673847331,3.5999999999999996
25,0.075,2253.748201305584,3.75
26,0.078,2210.819664137859,3.9
27,0.08099999999999999,2167.891126970134,4.049999999999999
28,0.08399999999999999,2124.9625898024083,4.199999999999999
29,0.087,2082.0340526346827,4.35
30,0.09,2039.105515466957,4.5
31,0.093,1996.1769782992317,4.6499999999999995
32,0.096,1953.248441131506,4.8
33,0.099,1910.319903963781,4.95
34,0.10200000000000001,1867.3913667960553,5.1000000000000005
35,0.10500000000000001,1824.4628296283297,5.25
36,0.10800000000000001,1781.5342924606043,5.4
37,0.11099999999999999,1738.6057552928794,5.549999999999999
38,0.11399999999999999,1695.6772181251538,5.699999999999999
39,0.11699999999999999,1652.7486809574284,5.85
40,0.12,1609.820143789703,6.0
